MATCH_ID,MATCH_DATE,TOURNAMENT,TEAM_ID,OPP_TEAM_ID,GOALS,OPP_GOALS,IS_HOST,TOURNAMENT_CATEGORY
15670,1987-04-18,Friendly,Germany,Italy,0.0,0.0,1,Friendly
15670,1987-04-18,Friendly,Italy,Germany,0.0,0.0,0,Friendly
15671,1987-04-18,Friendly,Russia,Sweden,1.0,3.0,1,Friendly
15671,1987-04-18,Friendly,Sweden,Russia,3.0,1.0,0,Friendly
15672,1987-04-26,Friendly,Zimbabwe,Zambia,0.0,1.0,1,Friendly
15672,1987-04-26,Friendly,Zambia,Zimbabwe,1.0,0.0,0,Friendly
15673,1987-04-29,UEFA Euro qualification,Romania,Spain,3.0,1.0,1,Continental Cup
15673,1987-04-29,UEFA Euro qualification,Spain,Romania,1.0,3.0,0,Continental Cup
15674,1987-04-29,UEFA Euro qualification,Russia,German DR,2.0,0.0,1,Continental Cup
15674,1987-04-29,UEFA Euro qualification,German DR,Russia,0.0,2.0,0,Continental Cup
15675,1987-04-29,UEFA Euro qualification,Northern Ireland,Yugoslavia,1.0,2.0,1,Continental Cup
15675,1987-04-29,UEFA Euro qualification,Yugoslavia,Northern Ireland,2.0,1.0,0,Continental Cup
15676,1987-04-29,UEFA Euro qualification,Wales,Czechoslovakia,1.0,1.0,1,Continental Cup
15676,1987-04-29,UEFA Euro qualification,Czechoslovakia,Wales,1.0,1.0,0,Continental Cup
15677,1987-04-29,UEFA Euro qualification,Turkey,England,0.0,0.0,1,Continental Cup
15677,1987-04-29,UEFA Euro qualification,England,Turkey,0.0,0.0,0,Continental Cup
15678,1987-04-29,UEFA Euro qualification,Netherlands,Hungary,2.0,0.0,1,Continental Cup
15678,1987-04-29,UEFA Euro qualification,Hungary,Netherlands,0.0,2.0,0,Continental Cup
15679,1987-04-29,UEFA Euro qualification,Greece,Poland,1.0,0.0,1,Continental Cup
15679,1987-04-29,UEFA Euro qualification,Poland,Greece,0.0,1.0,0,Continental Cup
15680,1987-04-29,UEFA Euro qualification,Republic of Ireland,Belgium,0.0,0.0,1,Continental Cup
15680,1987-04-29,UEFA Euro qualification,Belgium,Republic of Ireland,0.0,0.0,0,Continental Cup
15681,1987-04-29,Friendly,Honduras,El Salvador,1.0,0.0,1,Friendly
15681,1987-04-29,Friendly,El Salvador,Honduras,0.0,1.0,0,Friendly
15682,1987-04-29,Friendly,Jamaica,Cuba,2.0,0.0,1,Friendly
15682,1987-04-29,Friendly,Cuba,Jamaica,0.0,2.0,0,Friendly
15683,1987-04-29,UEFA Euro qualification,France,Iceland,2.0,0.0,1,Continental Cup
15683,1987-04-29,UEFA Euro qualification,Iceland,France,0.0,2.0,0,Continental Cup
15684,1987-04-29,UEFA Euro qualification,Finland,Denmark,0.0,1.0,1,Continental Cup
15684,1987-04-29,UEFA Euro qualification,Denmark,Finland,1.0,0.0,0,Continental Cup
15685,1987-04-29,UEFA Euro qualification,Albania,Austria,0.0,1.0,1,Continental Cup
15685,1987-04-29,UEFA Euro qualification,Austria,Albania,1.0,0.0,0,Continental Cup
15686,1987-04-30,UEFA Euro qualification,Luxembourg,Bulgaria,1.0,4.0,1,Continental Cup
15686,1987-04-30,UEFA Euro qualification,Bulgaria,Luxembourg,4.0,1.0,0,Continental Cup
